treatmentId	accordingTo	scientificName
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L7	name_GBIF	Aethalops aequalis
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L7	name MDD	Aethalops aequalis
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L7	name_MSW4	Aethalops aequalis
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L8	name_HMW	Aethalops alecto
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L8	name_batnames	Aethalops alecto
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L8	name_ALC	
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L8	name_GBIF	Aethalops alecto
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L8	name MDD	Aethalops alecto
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L8	name_MSW4	Aethalops alecto
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L9	name_HMW	Alionycteris paucidentata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L9	name_batnames	Alionycteris paucidentata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L9	name_ALC	
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L9	name_GBIF	Alionycteris paucidentata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L9	name MDD	Alionycteris paucidentata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L9	name_MSW4	Alionycteris paucidentata
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L10	name_HMW	Ametrida centurio
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L10	name_batnames	Ametrida centurio
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L10	name_ALC	
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L10	name_GBIF	Ametrida centurio
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L10	name MDD	Ametrida centurio
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L10	name_MSW4	Ametrida centurio
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L11	name_HMW	Amorphochilus schnablii
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L11	name_batnames	Amorphochilus schnablii
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L11	name_ALC	
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L11	name_GBIF	Amorphochilus schnablii
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L11	name MDD	Amorphochilus schnablii
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L11	name_MSW4	Amorphochilus schnablii
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L12	name_HMW	Anoura aequatoris
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L12	name_batnames	Anoura - see caudifer
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L12	name_ALC	
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L12	name_GBIF	Anoura aequatoris
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L12	name MDD	Anoura aequatoris
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L12	name_MSW4	 
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L13	name_HMW	Anoura cadenai
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L13	name_batnames	Anoura cadenai
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L13	name_ALC	
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L13	name_GBIF	Anoura cadenai
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L13	name MDD	Anoura cadenai
https://linker.bio/line:hash://sha256/eb557c6d8fee0a9177143987ab0f0146b8fa9f6c40ec373056a8a8fa01366836!/L1,L13	name_MSW4	 
