scientificName
 
?
Emballonura alecto
Emballonura atrata
Emballonura beccarii
Emballonura beccarli
Emballonura dianae
Emballonura furax
Emballonura monticola
Emballonura raffrayana
Emballonura semicaudata
Emballonura seni
Emballonura serii
Enchisthenes hartii
Eonycteris major
Eonycteris robusta
Eonycteris spelaea
Epomophorus angolensis
Epomophorus anselli
Epomophorus crypturus
Epomophorus dobsonii
Epomophorus gambianus
Epomophorus grandis
Epomophorus intermedius
Epomophorus labiatus
Epomophorus minimus
Epomophorus minor
Epomophorus pusillus
Epomophorus - see minor
Epomophorus wahlbergi
Epomops buettikoferi
Epomops dobsonii
Epomops franqueti
Eptesicus
Eptesicus alienus
Eptesicus anatolicus
Eptesicus andinus
Eptesicus bobrinskoi
Eptesicus bottae
Eptesicus brasiliensis
Eptesicus cadenai
Eptesicus chiriquinus
Eptesicus colombiae
Eptesicus diminutus
Eptesicus dimissus
Eptesicus diphanopterus
Eptesicus floweri
Eptesicus furinalis
Eptesicus fuscus
Eptesicus gobiensis
Eptesicus gobiensis 
Eptesicus gobiensis bobrinskoi
Eptesicus guadeloupensis
Eptesicus (Histiotus) cadenai
Eptesicus (Histiotus) colombiae
Eptesicus (Histiotus) mochica
Eptesicus hottentotus
Eptesicus humboldti
Eptesicus innoxius
Eptesicus isabellinus
Eptesicus japonensis
Eptesicus kobayashii
Eptesicus laephotis
Eptesicus langeri
Eptesicus macrotus
Eptesicus magellanicus
Eptesicus matroka
Eptesicus mochica
Eptesicus montanus
Eptesicus N/A
Eptesicus nasutus
Eptesicus nilssonii
Eptesicus ognevi
Eptesicus orinocensis
Eptesicus pachyomus
Eptesicus pachyotis
Eptesicus platyops
Eptesicus - see gobiensis bobrinskoi
Eptesicus - see pachyomus pallens and Eptesicus serotinus
Eptesicus serotinus
Eptesicus taddeii
Eptesicus tatei
Eptesicus ulapesensis
Eptesicus velatus
Erophylla bombifrons
Erophylla sezekorni
Euderma maculatum
Eudiscoderma thongareeae
Eudiscoderma thongareeae 
Eudiscopus denticulus
Eumops auripendulus
Eumops bonariensis
Eumops chimaera
Eumops chiribaya
Eumops dabbenei
Eumops delticus
Eumops ferox
Eumops floridanus
Eumops glaucinus
Eumops hansae
Eumops maurus
Eumops nanus
Eumops patagonicus
Eumops perotis
Eumops trumbulli
Eumops underwoodi
Eumops wilsoni
Falsistrellus affinis
Falsistrellus mackenziei
Falsistrellus mordax
Falsistrellus petersi
Falsistrellus tasmaniensis
Furipterus horrens
Gardnerycteris crenulatum
Gardnerycteris keenani
Gardnerycteris koepckeae
Glauconycteris alboguttata
Glauconycteris argentata
Glauconycteris atra
Glauconycteris beatrix
Glauconycteris curryae
Glauconycteris egeria
Glauconycteris gleni
Glauconycteris humeralis
Glauconycteris kenyacola
Glauconycteris machadoi
Glauconycteris poensis
Glauconycteris poensts
Glauconycteris superba
Glauconycteris variegata
Glischropus
Glischropus aquilus
Glischropus bucephalus
Glischropus javanus
Glischropus meghalayanus
Glischropus tylopus
Glossophaga
Glossophaga antillarum
Glossophaga bakeri
Glossophaga commissarisi
Glossophaga leachii
Glossophaga longirostris
Glossophaga morenoi
Glossophaga mutica
Glossophaga - see commissarisi
Glossophaga - see soricina
Glossophaga soricina
Glossophaga valens
Glyphonycteris behnii
Glyphonycteris daviesi
Glyphonycteris sylvestris
Haplonycteris fischeri
Harpiocephalus harpia
Harpiocephalus mordax
Harpiocephalus - see harpia
Harpiola grisea
Harpiola isodon
Harpyionycteris celebensis
Harpyionycteris whiteheadi
Hesperoptenus blanfordi
Hesperoptenus doriae
