treatmentId	Name_MSW3	Name_HMW	Name_BatNames	Name_MDD	Name_IUCN	Name_BatNames_2023
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L102.tsv		Chaerephon atsinanana	Mops atsinanana	Mops atsinanana	Chaerephon atsinanana	Mops atsinanana
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1020.tsv	Peropteryx trinitatis	Peropteryx trinitatis	Peropteryx trinitatis	Peropteryx trinitatis	Peropteryx trinitatis	Peropteryx trinitatis
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1021.tsv	Pharotis imogene	Pharotis imogene	Pharotis imogene	Pharotis imogene	Pharotis imogene	Pharotis imogene
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1022.tsv	Philetor brachypterus	Philetor brachypterus	Philetor brachypterus	Philetor brachypterus	Philetor brachypterus	Philetor brachypterus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1023.tsv	Phoniscus aerosa	Phoniscus aerosus	Phoniscus aerosus	Phoniscus aerosus	Phoniscus aerosus	Phoniscus aerosus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1024.tsv	Phoniscus atrox	Phoniscus atrox	Phoniscus atrox	Phoniscus atrox	Phoniscus atrox	Phoniscus atrox
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1025.tsv	Phoniscus jagorii	Phoniscus jagorii	Phoniscus jagorii	Phoniscus jagorii	Phoniscus jagorii	Phoniscus jagorii
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1026.tsv	Phoniscus papuensis	Phoniscus papuensis	Phoniscus papuensis	Phoniscus papuensis	Phoniscus papuensis	Phoniscus papuensis
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1027.tsv	Phylloderma stenops	Phylloderma stenops	Phylloderma stenops	Phylloderma stenops	Phylloderma stenops	Phylloderma stenops
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1028.tsv	Phyllonycteris aphylla	Phyllonycteris aphylla	Phyllonycteris aphylla	Phyllonycteris aphylla	Phyllonycteris aphylla	Phyllonycteris aphylla
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1029.tsv	Phyllonycteris poeyi	Phyllonycteris poeyi	Phyllonycteris poeyi	Phyllonycteris poeyi	Phyllonycteris poeyi	Phyllonycteris poeyi
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L103.tsv	Chaerephon bemmeleni	Chaerephon bemmeleni	Mops bemmeleni	Mops bemmeleni	Chaerephon bemmeleni	Mops bemmeleni
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1030.tsv	Phyllops falcatus	Phyllops falcatus	Phyllops falcatus	Phyllops falcatus	Phyllops falcatus	Phyllops falcatus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1031.tsv	Phyllostomus discolor	Phyllostomus discolor	Phyllostomus discolor	Phyllostomus discolor	Phyllostomus discolor	Phyllostomus discolor
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1032.tsv	Phyllostomus elongatus	Phyllostomus elongatus	Phyllostomus elongatus	Phyllostomus elongatus	Phyllostomus elongatus	Phyllostomus elongatus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1033.tsv	Phyllostomus hastatus	Phyllostomus hastatus	Phyllostomus hastatus	Phyllostomus hastatus	Phyllostomus hastatus	Phyllostomus hastatus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1034.tsv	Phyllostomus latifolius	Phyllostomus latifolius	Phyllostomus latifolius	Phyllostomus latifolius	Phyllostomus latifolius	Phyllostomus latifolius
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1035.tsv		N/A	Pipistrellus simandouensis	Pipistrellus simandouensis		Pipistrellus simandouensis
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1036.tsv	Pipistrellus deserti	synonym of Pipistrellus kuhlii	synonym of Pipistrellus kuhlii	synonym of Pipistrellus kuhlii	synonym of Pipistrellus kuhlii	
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1037.tsv	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1038.tsv	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1039.tsv	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L104.tsv	Chaerephon bivittatus	Chaerephon bivittatus	Mops bivittatus	Mops bivittatus	Chaerephon bivittatus	Mops bivittatus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1040.tsv	Pipistrellus ceylonicus	Pipistrellus ceylonicus	Pipistrellus ceylonicus	Pipistrellus ceylonicus	Pipistrellus ceylonicus	Pipistrellus ceylonicus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1041.tsv	Pipistrellus collinus	Pipistrellus collinus	Pipistrellus collinus	Pipistrellus collinus	Pipistrellus collinus	Pipistrellus collinus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1042.tsv	Pipistrellus coromandra	Pipistrellus coromandra	Pipistrellus coromandra	Pipistrellus coromandra	Pipistrellus coromandra	Pipistrellus coromandra
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1043.tsv		Pipistrellus creticus	Pipistrellus creticus	Pipistrellus creticus		Pipistrellus creticus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1044.tsv		Pipistrellus dhofarensis	Pipistrellus dhofarensis	Pipistrellus dhofarensis		Pipistrellus dhofarensis
